customer_tweet_id,candidate,customer_text,reply,gold_intent,predicted_intent,confidence,gold_escalate,predicted_escalate,predicted_escalation_reason,historical_evidence,helpfulness,intent_fit,grounding,factual_safety,escalation_appropriateness,professionalism,overall_pass,failure_reason,human_helpfulness,human_intent_fit,human_grounding,human_factual_safety,human_escalation_appropriateness,human_professionalism,human_overall_pass,human_failure_reason
659415,Agent,@AmazonHelp your customer service to those with disabilities is horrendous and you should be ashamed. I'm wheelchair bound. 1 of/,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,other_general,other_general,0.252812086,yes,FALSE,none,"[{""customer_tweet_id"": 1554354, ""customer_text"": ""Great customer service from Jürgen at @116316 , thanks!"", ""amazon_reply"": ""@480784 Thanks 🙂 You are welcome. Kind regards ^TR"", ""similarity"": 0.3258271623013982}, {""customer_tweet_id"": 745083, ""customer_text"": ""@AmazonHelp @115850 U r as competent as ur customer service on ph."", ""amazon_reply"": ""@298115 We'd like to help, Amit. As requested earlier, please send us your details through the link shared earlier. ^MA"", ""similarity"": 0.32507690876538287}, {""customer_tweet_id"": 765713, ""customer_text"": ""@AmazonHelp No, I find your customer service menu on the app very confusing and can't work out how to send an email. I keep ending up on a chat with a robot that wants me to give it my phone number when I can't speak on the phone right now."", ""amazon_reply"": ""@303000 You can send us an e-mail via our website if you go to the following link:  https://t.co/JzP7hlA23B ^KI"", ""similarity"": 0.2824465106005523}]",2,3,3,5,3,4,FALSE,"The response is overly generic and fails to acknowledge the customer's specific mention of a disability, which is the core of their complaint. It treats a serious accessibility grievance as a standard order-related issue.",,,,,,,,
1234092,Retrieval,@AmazonHelp my parcel said it was delivered and signed for by me yesterday but i wasn't in. I can't find the parcel - can you help please?,@340283 That is interesting! Have you tired contacting us via phone or chat? If so what options where you provided? ^LS,missing_package,delivery_delay,0.188132881,yes,TRUE,low_intent_confidence,"[{""customer_tweet_id"": 1302289, ""customer_text"": ""@AmazonHelp We have community mailboxes, I was given a key for a parcel box, indicating my parcel was delivered, but there was nothing in the box."", ""amazon_reply"": ""@340283 That is interesting! Have you tired contacting us via phone or chat? If so what options where you provided? ^LS"", ""similarity"": 0.24214875964885685}, {""customer_tweet_id"": 2514040, ""customer_text"": ""@AmazonHelp I’ve had a parcel delivered according to your tracker but no item was deliver anychance you can help ?"", ""amazon_reply"": ""@716358 Hi, sorry to hear this. Take a look at the following link as it might help you locate the parcel: http:https://t.co/lcIviyIte1 ^CR"", ""similarity"": 0.2128780030189975}, {""customer_tweet_id"": 553360, ""customer_text"": ""@AmazonHelp I was originally suppose to get it Thursday November 30th then it said yesterday then it said today and I still haven't gotten it https://t.co/uIe1uNy3T1"", ""amazon_reply"": ""@249052 We'd like to look into available options. Please reach out to us here: https://t.co/hApLpMlfHN ^RR"", ""similarity"": 0.2070142975669994}]",2,2,5,5,2,3,FALSE,"The response uses a generic, unhelpful template from historical data that does not address the specific issue of a package being marked as signed for by the customer when they were not home. It fails to acknowledge the escalation requirement.",,,,,,,,
819504,Agent,Also @AmazonHelp - @134825 ist schon a bissl nervig vong zustellservice - null benachrichtigung und jetzt kann ich keinens shop auswählen 😞,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,order_status_tracking,other_general,0.180670956,yes,TRUE,low_intent_confidence,"[{""customer_tweet_id"": 987778, ""customer_text"": ""@AmazonHelp Und ich antworte gerne nochmal: Leute, ich bin kein Idiot."", ""amazon_reply"": ""@194202 Dann melde dich bitte mal über diesen Link bei uns, dem Amazon.de Social Media Team: https://t.co/cUDnC8mjd7 ^AN"", ""similarity"": 0.2919259453211127}, {""customer_tweet_id"": 140929, ""customer_text"": ""Danke an @116316 !\nWeil ich dieses Jahr noch nicht über 100€ bestellt habe, darf ich das Handy für 250€ nicht per Lastschrift bezahlen!\n\nFind ich super!\n#Kundenservice\n#keinPrime"", ""amazon_reply"": ""@147798 Leider können wir diese Entscheidung nicht ändern. Gründe hierfür: https://t.co/kkXAbASVDr Tut mir leid. Lieber Gruß ^TG"", ""similarity"": 0.15831266904090607}, {""customer_tweet_id"": 1623922, ""customer_text"": ""@AmazonHelp @497410 Gut zu wissen, dass man solche Mails melden kann. Danke! Werde ich in Zukunft auch direkt machen."", ""amazon_reply"": ""@497411 Immer wieder gerne! ^DW"", ""similarity"": 0.15292491129476438}]",4,4,5,5,5,5,TRUE,,,,,,,,,
130769,Retrieval,@115850 @132994 ne ayya exchange pettu ra🙏🙏,@159034 Our Twitter page is visible to the public. (4/4)^AU,return_replacement,return_replacement,0.88,no,FALSE,none,"[{""customer_tweet_id"": 274471, ""customer_text"": ""@115850  https://t.co/gTRwxpvjFO"", ""amazon_reply"": ""@159034 Our Twitter page is visible to the public. (4/4)^AU"", ""similarity"": 0.12656951441563527}, {""customer_tweet_id"": 1723429, ""customer_text"": ""@115851 @7092 @115850 @AmazonHelp Nth apologetic email from @115850 but no solution. Utter waste of time. https://t.co/35mpj3FEFf"", ""amazon_reply"": ""@507510 We'd like to fix this for you, Sudhanshu. I'd request you to write to us using the registered email address or phone number.^JC"", ""similarity"": 0.10004226334403186}, {""customer_tweet_id"": 167936, ""customer_text"": ""Qd tu a 4 fois @120533 au téléphone pour te dire que ta commande n'est pas envoyée car il manque encore un produit mais que tu ne peux pas l'annuler parce qu'elle est sur le point d'être expédié.\nEt bah ça énerve un peu qd même."", ""amazon_reply"": ""@155066 Bonsoir Yann, désolée d'apprendre cela. La livraison de votre colis est prévue pour quand s'il vous plaît ? ^MA"", ""similarity"": 0.09572846798105826}]",1,1,2,5,1,3,FALSE,The response is a canned retrieval that is completely irrelevant to the customer's request for an exchange.,,,,,,,,
570007,Generic,"@AmazonHelp Package status says received, but i didnt get it, Amazon told me to call in a police report, i did. Amazon got the police report number, told me they would contact the police to verify the report, that was Nov 3rd, i get told they will call monday, 4 mondays in a row and nothing",I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,missing_package,delivery_delay,0.155832187,yes,TRUE,low_intent_confidence,"[{""customer_tweet_id"": 893324, ""customer_text"": ""@AmazonHelp Via phone I was told to contact my bank. However the bank didn't make the charge so I'm out of $10"", ""amazon_reply"": ""@332123 Just to clarify, what shipping method is shown for your item? Did you start a Prime membership with this order? ^DW"", ""similarity"": 0.19407113439600618}, {""customer_tweet_id"": 1447950, ""customer_text"": ""Hey @AmazonHelp  once again my package is delayed. 3rd time in a row.  Is prime really worth it if my packages never get here in 2 days??"", ""amazon_reply"": ""@456015 I'm so sorry for the wait! Do the orders have the same carrier in common? If so, who is it? https://t.co/Y5jpI9gRhE ^MH"", ""similarity"": 0.19146798901524792}, {""customer_tweet_id"": 46489, ""customer_text"": ""@115830 paid 4 nextday delivery only 2 b told after notifications all day saying that they r delivering 2day only 2 b told they cant deliv"", ""amazon_reply"": ""@126320 I'm sorry you didn't receive your order. Did we specify why we were unable to deliver your order? ^CO"", ""similarity"": 0.17477593451525597}]",2,3,3,5,2,5,FALSE,"The response is too generic and ignores the specific, high-friction context provided by the customer (a police report and multiple failed follow-ups), failing to acknowledge the frustration or provide a path for escalation.",,,,,,,,
71890,Generic,Bonjour @120533 je voudrais savoir si un jour vous comptez mettre comme moyen de paiement la carte Maestro ? Merci beaucoup,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,payment_billing,other_general,0.19297265,no,TRUE,low_intent_confidence,"[{""customer_tweet_id"": 109822, ""customer_text"": ""Je sens que c'est mort pour l'artbook de Persona 5 😥 Merci @120533"", ""amazon_reply"": ""@140385 Bonsoir, pouvez-vous nous expliquer davantage le souci je vous prie ? ^KE"", ""similarity"": 0.2455107290609968}, {""customer_tweet_id"": 1881648, ""customer_text"": ""@120533 MaJ : remboursement de la part d'Amazon."", ""amazon_reply"": ""@561522 Contactez s'il vous plaît notre service client pour qu'ils vous aident via https://t.co/hgIrz98cdI"", ""similarity"": 0.17386585989210918}, {""customer_tweet_id"": 2538856, ""customer_text"": ""@AmazonHelp vous etes pas compétent"", ""amazon_reply"": ""@389945 Bonjour, je suis désolée d'apprendre cela. Pouvez-vous m'expliquer davantage la situation rencontrée s'il vous plait ? ^SB"", ""similarity"": 0.15272530535075934}]",1,1,2,2,2,3,FALSE,The response is a generic template that ignores the customer's specific question about payment methods and incorrectly treats the inquiry as an order-related issue.,,,,,,,,
1179698,Agent,Hey @115821 your delivery guy decided to leave the boxes for the entire building in our office.  Guess I'm the delivery guy now? https://t.co/zwSWiN8Nc8,I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,order_status_tracking,delivery_delay,0.250645561,yes,FALSE,none,"[{""customer_tweet_id"": 991010, ""customer_text"": ""@AmazonHelp ur delivery guy didn't call me &amp; I received a message saying I was not contactable!! Every time u prove u don't care abt custmr"", ""amazon_reply"": ""@184637 Sorry to know that, please connect with us here: https://t.co/TdDksLo6Mf and we'll check this out for you. ^MS"", ""similarity"": 0.24823364328434006}, {""customer_tweet_id"": 2460278, ""customer_text"": ""Hey @115821 I'd appreciate it if you would cancel my order for me😅😅😅😅😅😅😅"", ""amazon_reply"": ""@704512 Thanks for reaching out to us! We don't have access to your account via Twitter. Please check here for returns/refunds: https://t.co/WYHOlCv0Ty ^MO"", ""similarity"": 0.18726201296359563}, {""customer_tweet_id"": 480488, ""customer_text"": ""Hey @115821, please explain why I am paying for Prime’s 2 day shipping when I am getting 5 day shipping #Amazon https://t.co/d2STAEeAnA"", ""amazon_reply"": ""@229189 Hello MJ, sorry you have not received your order. We'd like to assist! What was the delivery date provided in your order confirmation email? ^TE"", ""similarity"": 0.11109075412076637}]",1,1,2,2,3,3,FALSE,"The response incorrectly identifies the issue as a delivery delay when the customer is reporting a misdelivery/improper drop-off, making the advice to check tracking irrelevant and unhelpful.",,,,,,,,
2840267,Agent,"@AmazonHelp I have read that communication. It is of no help. No one is even trying to understand, why i complained",I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,other_general,other_general,0.213055777,yes,FALSE,none,"[{""customer_tweet_id"": 2406925, ""customer_text"": ""Hello, @115850  &amp; @AmazonHelp \nPlease Help. I am trying 5 time Add Money in Wallet but problems.\nPlease check.\n@115821 \n@115830"", ""amazon_reply"": ""@414819 I understand your concern about the Amazon pay balance. Did you happen to report this to our support team? If no, please contact us here: https://t.co/vlvfJr4nN9 so we can assist you.^PJ"", ""similarity"": 0.2538303157030127}, {""customer_tweet_id"": 1890590, ""customer_text"": ""@AmazonHelp It would be nice if you read my tweet before, I am saying that my account is LOCKED. Can you please read what I stated above and not give me some bullshit answer back, thanks."", ""amazon_reply"": ""@563805 Please use skip sign in option, on the link previously provided. ^TP"", ""similarity"": 0.18643189714728586}, {""customer_tweet_id"": 373286, ""customer_text"": ""@AmazonHelp Person I spoke with was confused, didn't understand what was going on and just told me someone would get back to me."", ""amazon_reply"": ""@204453 I understand you frustration! We'll do everything we can. Please let us know if you need assistance in the mean time. ^HC"", ""similarity"": 0.137072745721395}]",4,4,5,5,5,5,TRUE,,,,,,,,,
1071144,Retrieval,@115830 can you DM about an aftersales issue. Thanks,"@262972 Hi, We're sorry for the inconvenience! We want to make sure we’re providing the best solution for you. In this case, we recommend you to contact our Customer Support, please click the following link: https://t.co/qGpkDwGRhX ^HC",other_general,other_general,0.285171864,yes,TRUE,needs_human_support,"[{""customer_tweet_id"": 602326, ""customer_text"": ""@AmazonHelp pls help DM :("", ""amazon_reply"": ""@262972 Hi, We're sorry for the inconvenience! We want to make sure we’re providing the best solution for you. In this case, we recommend you to contact our Customer Support, please click the following link: https://t.co/qGpkDwGRhX ^HC"", ""similarity"": 0.2629831160193528}, {""customer_tweet_id"": 1152724, ""customer_text"": ""@AmazonHelp That worked. Thanks!"", ""amazon_reply"": ""@283086 No problem, that's what we do! Thanks for letting us know and have a great rest of your day. ^EM"", ""similarity"": 0.1803487161934924}, {""customer_tweet_id"": 1136209, ""customer_text"": ""@AmazonHelp Plz resolve my issue..  I have no problem wid u.."", ""amazon_reply"": ""@387674 Sorry about the delivery delay. We'd like to investigate this, please share your details here: https://t.co/cQVomR1pWz. ^HA"", ""similarity"": 0.14727649396227585}]",5,5,5,5,5,5,TRUE,,,,,,,,,
2836887,Generic,"@115830 @AmazonHelp lost order and call to speak to your 'escalation team'. Spoken to in a disgusting, condescending manner and you put the phone down on me after I asked the operator to clarify what steps I need to take next. Disgusting customer service.",I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,missing_package,other_general,0.215886627,yes,FALSE,none,"[{""customer_tweet_id"": 765713, ""customer_text"": ""@AmazonHelp No, I find your customer service menu on the app very confusing and can't work out how to send an email. I keep ending up on a chat with a robot that wants me to give it my phone number when I can't speak on the phone right now."", ""amazon_reply"": ""@303000 You can send us an e-mail via our website if you go to the following link:  https://t.co/JzP7hlA23B ^KI"", ""similarity"": 0.19463658328541517}, {""customer_tweet_id"": 530044, ""customer_text"": ""@AmazonHelp please get the live chat and call centre people some training. Absolutely disgusting service."", ""amazon_reply"": ""@242744 I apologize for the experience you had. We want to help. Without giving us any personal/account info, can you give us a little insight on the issue you are facing? ^BA"", ""similarity"": 0.19073980813640512}, {""customer_tweet_id"": 611196, ""customer_text"": ""@115821 @115830  @AmazonHelp As a student with a dying laptop I ordered a new Dell inspirion off of your site believing in your good customer service. Instead what has happened is that I firstly received duracell batteries, and when asked for a replacement then received..."", ""amazon_reply"": ""@265290 Sorry to hear about this issue. Have you contacted us here:  https://t.co/JzP7hlA23B to see what options we have available?^MI"", ""similarity"": 0.17091380054530755}]",4,5,5,5,5,5,TRUE,,,,,,,,,
