customer_tweet_id,customer_text,amazon_reply,created_at
320049,@AmazonHelp No option to reply for any email .. Please ask support manager to call me ASAP. Its urgent!!,"@192278 In that case, please share your details again from here: https://t.co/beaaDm0muc and we'll get in touch with you. ^ST",Mon Oct 09 03:29:51 +0000 2017
465078,"@AmazonHelp Half my order arrived on time, the other half SAT at a LOCAL facility for 2 days. They tried to deliver after hours to a business address (after assuring me they would deliver BEFORE end of day). 2nd time tonight. Now I have to call &amp; email the delivery dept direct",@225623 I certainly understand this may be frustrating. Will you confirm who the carrier is for this order: https://t.co/PHDn6N9uVd? ^LS,Fri Dec 01 04:05:41 +0000 2017
2350932,"@AmazonHelp My phone got stolen, and I used to have two-factor authentication. I don't live in the US, and my country (Chile) isn't listed on the ""call list"" WHAT CAN I DO!?",@679481 I'm sorry to hear you lost your phone. We can be reached by phone or e-mail by following this link: https://t.co/jzvkhdlrK5 ^AN,Mon Nov 13 17:42:07 +0000 2017
1772307,@115821 you highkey just pissed me off by delaying my order delivery a full month. why the fuck do ya gotta do this shit to me 😭,@532687 I'm sorry for the delayed delivery! Were you provided with an updated delivery date? ^AC,Wed Nov 08 01:47:38 +0000 2017
874519,Hey @115821 - my rubbish bin isn't my 'safe place'. Lucky it wasn't bin day! https://t.co/KRUTyrwCf1,@327623 Oh no! We'd like to look into this with you. Please click here: https://t.co/JzP7hlA23B so we can further assist. ^NM,Fri Oct 13 16:03:47 +0000 2017
2184684,"Strange @115850 
How can you enable Amazon pay check box and then credit card radio button at the same time and throw error when we press continue?
You take money from my Bank to @115823 in 2 minutes but to reverse it you need 15-17 days?

Thought you guys are very advanced https://t.co/hHcQQjcB8v",@639869 I understand your concern. Please get in touch with our support team here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^MN,Thu Nov 09 16:14:57 +0000 2017
142806,"Oye, @116928, si el paquete que habéis dejado delante de la puerta de casa (aunque en Seguimiento del pedido dice, falsamente, que se le entregó a un residente) lo hubiese cogido cualquiera que pasase por allí, ¿qué habría pasado?","@148239 Hola Carlos, ¿nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA",Fri Nov 24 12:37:09 +0000 2017
1413421,@115821 Thanks for absolutely nothing. So much for Prime Membership and your guaranteed delivery date. Great job! https://t.co/Q8MBFJrey7,@448468 I am sorry that missed the guarantee date. Have you received your game today yet? ^DA,Sat Oct 28 19:47:18 +0000 2017
2201810,chegou meus livros @115821 te amo,"@643912 Só amor para você, Sarai 💖 Quais livros você recebeu hoje? ^LG",Thu Oct 19 14:21:30 +0000 2017
824078,@AmazonHelp AZNL is the delivery service.,@316301 Thanks for the info. Our team would like to look into this. Please send us your details here: https://t.co/L0tycF6x4k ^GG,Fri Oct 13 00:06:28 +0000 2017
2290859,"@AmazonHelp #JeffBezos , #flipcart . Order cancelled because of non delivery in stipulated time. Order on Amazon needs advance payment. Refund to take 2 weeks !! Amazing tactics Amazon !!","@665414 Sorry, you feel that way. Please reply to the email sent by our specialist team for further insight on your refund. ^VM",Tue Nov 14 09:00:34 +0000 2017
1151136,@AmazonHelp Got it working. Thx.,@390892 Thanks for the update! Please let us know if you need any further assistance. ^BH,Sun Oct 15 20:37:13 +0000 2017
324446,@AmazonHelp Please look at complaints registered for Order #407-4330002-1760315 @115850,@193286 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,Sat Oct 07 15:35:58 +0000 2017
2964089,"@AmazonHelp Già fatto ma ho ottenuto un risultato: assolutamente no. Mi hanno risposto che per venerdì saranno consegnati, una settimana per avere dei prodotti già pagati e non due giorni lavorativi essendo cliente Prime. Pazzesco, assurdo e poco professionale.","@236677 Comprendo il tuo disappunto e mi dispiace. Da qui non posso verificare il tuo ordine, ma il nostro Servizio Clienti rimane a tua completa disposizione per qualsiasi ulteriore chiarimento: non esitare a ricontattarlo. ^EA",Wed Nov 29 21:49:12 +0000 2017
2052160,LOVE it when you pay for Prime and shit doesn't arrive when it says it will 🙃🙃🙃 @115821,@606902 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/7R8P8hZQtW? ^KP,Wed Oct 18 23:37:26 +0000 2017
2869622,Amazonプライム会員なるか悩む(っ `-´ c)ﾏｯ‼,"@796880 |ω・)
ご検討いただきありがとうございます✨
特典の一覧を置いておきますね...! https://t.co/AbfeovjCgG YM https://t.co/gOSQal1SN8",Tue Nov 28 01:25:18 +0000 2017
