customer_tweet_id,customer_text,gold_intent,gold_escalate,gold_escalation_reason,predicted_intent,confidence,predicted_escalate,predicted_escalation_reason,generic_reply,retrieval_reply,agent_reply,agent_reply_source,gemini_attempts,historical_evidence
1547229,@115830 Not sure how 3 days to deliver an item is considered Prime service. #badservice #nextdaydelivery,delivery_delay,no,none,delivery_delay,0.2975253511059119,False,none,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@529830 Thanks for confirming! Since this requires account access, please contact here: https://t.co/233GuUIPkP for a full review. ^TM",I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,fallback,0,"[{""customer_tweet_id"": 1760384, ""customer_text"": ""@AmazonHelp Sure. I ordered a lot of 24 of an item, and I keep being sent 1 of the item."", ""amazon_reply"": ""@529830 Thanks for confirming! Since this requires account access, please contact here: https://t.co/233GuUIPkP for a full review. ^TM"", ""similarity"": 0.32393366595049766}, {""customer_tweet_id"": 2514040, ""customer_text"": ""@AmazonHelp I’ve had a parcel delivered according to your tracker but no item was deliver anychance you can help ?"", ""amazon_reply"": ""@716358 Hi, sorry to hear this. Take a look at the following link as it might help you locate the parcel: http:https://t.co/lcIviyIte1 ^CR"", ""similarity"": 0.18377001246176797}, {""customer_tweet_id"": 2602988, ""customer_text"": ""@AmazonHelp I'm not sure.i assumed they would be all the same courier."", ""amazon_reply"": ""@736628 I'm sorry about this. We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/JzP7hlA23B We'd like to help! ^ZW"", ""similarity"": 0.17958547417151874}]"
659415,@AmazonHelp your customer service to those with disabilities is horrendous and you should be ashamed. I'm wheelchair bound. 1 of/,other_general,yes,needs_human_support,other_general,0.25281208598850213,False,none,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@480784 Thanks 🙂 You are welcome. Kind regards ^TR,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,fallback,0,"[{""customer_tweet_id"": 1554354, ""customer_text"": ""Great customer service from Jürgen at @116316 , thanks!"", ""amazon_reply"": ""@480784 Thanks 🙂 You are welcome. Kind regards ^TR"", ""similarity"": 0.3258271623013982}, {""customer_tweet_id"": 745083, ""customer_text"": ""@AmazonHelp @115850 U r as competent as ur customer service on ph."", ""amazon_reply"": ""@298115 We'd like to help, Amit. As requested earlier, please send us your details through the link shared earlier. ^MA"", ""similarity"": 0.32507690876538287}, {""customer_tweet_id"": 765713, ""customer_text"": ""@AmazonHelp No, I find your customer service menu on the app very confusing and can't work out how to send an email. I keep ending up on a chat with a robot that wants me to give it my phone number when I can't speak on the phone right now."", ""amazon_reply"": ""@303000 You can send us an e-mail via our website if you go to the following link:  https://t.co/JzP7hlA23B ^KI"", ""similarity"": 0.2824465106005523}]"
818202,@AmazonHelp Consistently. I would really prefer actual dates to “guaranteed” ones. No matter the cost.,delivery_delay,yes,delivery_issue,other_general,0.1862492883719764,True,low_intent_confidence,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@171997 A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,fallback,0,"[{""customer_tweet_id"": 235131, ""customer_text"": ""When @AmazonHelp says they’ll replace your lost parcel at no extra cost yet you still get a £1 charge from them... 🤔"", ""amazon_reply"": ""@171997 A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ"", ""similarity"": 0.16939214794242338}, {""customer_tweet_id"": 65899, ""customer_text"": ""@AmazonHelp Done"", ""amazon_reply"": ""@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV"", ""similarity"": 0.14911582567757062}, {""customer_tweet_id"": 2299567, ""customer_text"": ""Le jour J approche ! :)\nJ'espère que les dates sont bonnes @120533 😁\n#YourName https://t.co/lChz8999DO"", ""amazon_reply"": ""@667446 Bonjour, la date de sortie approche ;) Le nécessaire est fait pour vous livrer dans les délais indiqués sur votre compte. ^MH"", ""similarity"": 0.1281661511398022}]"
2663165,"@120540 come mai ho ordinato un libro il 6 novembre, che sarebbe dovto arrivare il 16 novembre ma non mi è ancora arrivato? Se vado negli ordini in corso dice : spedito... ma ho paura che il pacco non arrivi più.",delivery_delay,yes,delivery_issue,delivery_delay,0.24687239969103125,False,none,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@743821 Ciao Alex, mi dispiace per l'inconveniente. Permettici di verificare la situazione da te descritta. Clicca su questo link https://t.co/YqSLjWtQtI e inserisci i dati richiesti, sarai ricontattato via e-mail, dal mio Team, quanto prima. A presto! ^MP",I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,fallback,0,"[{""customer_tweet_id"": 2609240, ""customer_text"": ""@706738 @120540 Allora non sono l'unico a cui capitano. A gennaio non rinnoverò Prime, negli ultimi mesi 5 spedizioni con ritardi. Che senso ha pagare pure un abbonamento se poi non funziona il servizio? p.s. tra l'altro a me capitato sempre con il loro corriere interno (Amazon Logistics) 😑"", ""amazon_reply"": ""@743821 Ciao Alex, mi dispiace per l'inconveniente. Permettici di verificare la situazione da te descritta. Clicca su questo link https://t.co/YqSLjWtQtI e inserisci i dati richiesti, sarai ricontattato via e-mail, dal mio Team, quanto prima. A presto! ^MP"", ""similarity"": 0.24480382143668472}, {""customer_tweet_id"": 2094043, ""customer_text"": ""@AmazonHelp Nel mio, vero e con prime, l'ordine risulta in consegna il 10 novembre.\nIl quello simulato invece https://t.co/dczRI8YTwn"", ""amazon_reply"": ""@207161 Contatta la nostra Assistenza cliccando qui: https://t.co/YtcS8zMWhk. ^MA"", ""similarity"": 0.1934604409883754}, {""customer_tweet_id"": 2964089, ""customer_text"": ""@AmazonHelp Già fatto ma ho ottenuto un risultato: assolutamente no. Mi hanno risposto che per venerdì saranno consegnati, una settimana per avere dei prodotti già pagati e non due giorni lavorativi essendo cliente Prime. Pazzesco, assurdo e poco professionale."", ""amazon_reply"": ""@236677 Comprendo il tuo disappunto e mi dispiace. Da qui non posso verificare il tuo ordine, ma il nostro Servizio Clienti rimane a tua completa disposizione per qualsiasi ulteriore chiarimento: non esitare a ricontattarlo. ^EA"", ""similarity"": 0.18295446461047313}]"
130769,@115850 @132994 ne ayya exchange pettu ra🙏🙏,return_replacement,no,none,return_replacement,0.88,False,none,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@159034 Our Twitter page is visible to the public. (4/4)^AU,I can help with your return or replacement request. Please provide the relevant order details so the next steps can be determined.,fallback,0,"[{""customer_tweet_id"": 274471, ""customer_text"": ""@115850  https://t.co/gTRwxpvjFO"", ""amazon_reply"": ""@159034 Our Twitter page is visible to the public. (4/4)^AU"", ""similarity"": 0.12656951441563527}, {""customer_tweet_id"": 1723429, ""customer_text"": ""@115851 @7092 @115850 @AmazonHelp Nth apologetic email from @115850 but no solution. Utter waste of time. https://t.co/35mpj3FEFf"", ""amazon_reply"": ""@507510 We'd like to fix this for you, Sudhanshu. I'd request you to write to us using the registered email address or phone number.^JC"", ""similarity"": 0.10004226334403186}, {""customer_tweet_id"": 167936, ""customer_text"": ""Qd tu a 4 fois @120533 au téléphone pour te dire que ta commande n'est pas envoyée car il manque encore un produit mais que tu ne peux pas l'annuler parce qu'elle est sur le point d'être expédié.\nEt bah ça énerve un peu qd même."", ""amazon_reply"": ""@155066 Bonsoir Yann, désolée d'apprendre cela. La livraison de votre colis est prévue pour quand s'il vous plaît ? ^MA"", ""similarity"": 0.09572846798105826}]"
379433,"Had an @115830 USB lightening cable for a month n it's packed in already, cba man😴",technical_product_issue,no,none,delivery_delay,0.1571478268781755,True,low_intent_confidence,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@528569 I understand your love for music :) It will be expanded to other devices and platforms in the future. Please stay tuned! ^BS,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,fallback,0,"[{""customer_tweet_id"": 1755084, ""customer_text"": ""@AmazonHelp Just 3 days after this month will end 🤔"", ""amazon_reply"": ""@528569 I understand your love for music :) It will be expanded to other devices and platforms in the future. Please stay tuned! ^BS"", ""similarity"": 0.2576680067107038}, {""customer_tweet_id"": 2493660, ""customer_text"": ""@115825 Hi!  Wann kann man denn die Neue Staffel Lucifer bei Euch ansehen? LG"", ""amazon_reply"": ""@711838 Auf Englisch ist sie schon verfügbar: https://t.co/HTun3oZGUE Sobald es weiter Infos gibt, geben wir dies bekannt. Lieben Gruß ^NW"", ""similarity"": 0.11418423092923426}, {""customer_tweet_id"": 530001, ""customer_text"": ""@AmazonHelp THERES MORE !!!! @115830 https://t.co/JRdxSl5ghg"", ""amazon_reply"": ""@242735 Hi James, please get in touch via the link provided by ^FJ &amp; we'll be able to look into this for you. ^TS"", ""similarity"": 0.10349370332822788}]"
1071144,@115830 can you DM about an aftersales issue. Thanks,other_general,yes,needs_human_support,other_general,0.28517186432442704,True,needs_human_support,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@262972 Hi, We're sorry for the inconvenience! We want to make sure we’re providing the best solution for you. In this case, we recommend you to contact our Customer Support, please click the following link: https://t.co/qGpkDwGRhX ^HC",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,fallback,0,"[{""customer_tweet_id"": 602326, ""customer_text"": ""@AmazonHelp pls help DM :("", ""amazon_reply"": ""@262972 Hi, We're sorry for the inconvenience! We want to make sure we’re providing the best solution for you. In this case, we recommend you to contact our Customer Support, please click the following link: https://t.co/qGpkDwGRhX ^HC"", ""similarity"": 0.2629831160193528}, {""customer_tweet_id"": 1152724, ""customer_text"": ""@AmazonHelp That worked. Thanks!"", ""amazon_reply"": ""@283086 No problem, that's what we do! Thanks for letting us know and have a great rest of your day. ^EM"", ""similarity"": 0.1803487161934924}, {""customer_tweet_id"": 1136209, ""customer_text"": ""@AmazonHelp Plz resolve my issue..  I have no problem wid u.."", ""amazon_reply"": ""@387674 Sorry about the delivery delay. We'd like to investigate this, please share your details here: https://t.co/cQVomR1pWz. ^HA"", ""similarity"": 0.14727649396227585}]"
312990,@AmazonHelp  https://t.co/Zu0qMvIX5G,other_general,no,none,other_general,0.19743143555930628,True,low_intent_confidence,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,fallback,0,"[{""customer_tweet_id"": 65899, ""customer_text"": ""@AmazonHelp Done"", ""amazon_reply"": ""@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV"", ""similarity"": 0.4810424740325799}, {""customer_tweet_id"": 742396, ""customer_text"": ""@amazonhelp this url is broken on your site: https://t.co/nL5ldDxRB2 — needed for this: https://t.co/dD4Yvm02Pb"", ""amazon_reply"": ""@297514 Cab you please provide a link to the page where this button is located? We'd like to look further into it. ^WJ"", ""similarity"": 0.23874368156361267}, {""customer_tweet_id"": 274471, ""customer_text"": ""@115850  https://t.co/gTRwxpvjFO"", ""amazon_reply"": ""@159034 Our Twitter page is visible to the public. (4/4)^AU"", ""similarity"": 0.21138107666986491}]"
2777346,@AmazonHelp Problème réglé :),other_general,no,none,other_general,0.20487439299065915,False,none,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,fallback,0,"[{""customer_tweet_id"": 65899, ""customer_text"": ""@AmazonHelp Done"", ""amazon_reply"": ""@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV"", ""similarity"": 1.0}, {""customer_tweet_id"": 2880479, ""customer_text"": ""@AmazonHelp Useless"", ""amazon_reply"": ""@799341 We want to help you as much as possible, please contact us directly by clicking the following link: https://t.co/JzP7hlA23B.^BZ"", ""similarity"": 0.1918260533044177}, {""customer_tweet_id"": 2437734, ""customer_text"": ""@AmazonHelp Useless"", ""amazon_reply"": ""@337608 We'd like to help, kindly share your details here: https://t.co/GIJyeYqKE0, and we'll reach out to you soon. ^MA"", ""similarity"": 0.1918260533044177}]"
1445308,@AmazonHelp I wasn’t able to find the promo again or chose another book,other_general,yes,needs_human_support,other_general,0.17905309824602325,True,low_intent_confidence,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,fallback,0,"[{""customer_tweet_id"": 65899, ""customer_text"": ""@AmazonHelp Done"", ""amazon_reply"": ""@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV"", ""similarity"": 0.18359240214969147}, {""customer_tweet_id"": 2338675, ""customer_text"": ""@115850 Amazon is cheater. selling things over MRP selling rupees 35 book on price of 218"", ""amazon_reply"": ""@676548 That's strange. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ?"", ""similarity"": 0.13637636622253965}, {""customer_tweet_id"": 874519, ""customer_text"": ""Hey @115821 - my rubbish bin isn't my 'safe place'. Lucky it wasn't bin day! https://t.co/KRUTyrwCf1"", ""amazon_reply"": ""@327623 Oh no! We'd like to look into this with you. Please click here: https://t.co/JzP7hlA23B so we can further assist. ^NM"", ""similarity"": 0.13582602844135958}]"
