customer_tweet_id,customer_text,amazon_reply,created_at
465078,"@AmazonHelp Half my order arrived on time, the other half SAT at a LOCAL facility for 2 days. They tried to deliver after hours to a business address (after assuring me they would deliver BEFORE end of day). 2nd time tonight. Now I have to call &amp; email the delivery dept direct",@225623 I certainly understand this may be frustrating. Will you confirm who the carrier is for this order: https://t.co/PHDn6N9uVd? ^LS,Fri Dec 01 04:05:41 +0000 2017
874519,Hey @115821 - my rubbish bin isn't my 'safe place'. Lucky it wasn't bin day! https://t.co/KRUTyrwCf1,@327623 Oh no! We'd like to look into this with you. Please click here: https://t.co/JzP7hlA23B so we can further assist. ^NM,Fri Oct 13 16:03:47 +0000 2017
142806,"Oye, @116928, si el paquete que habéis dejado delante de la puerta de casa (aunque en Seguimiento del pedido dice, falsamente, que se le entregó a un residente) lo hubiese cogido cualquiera que pasase por allí, ¿qué habría pasado?","@148239 Hola Carlos, ¿nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA",Fri Nov 24 12:37:09 +0000 2017
2201810,chegou meus livros @115821 te amo,"@643912 Só amor para você, Sarai 💖 Quais livros você recebeu hoje? ^LG",Thu Oct 19 14:21:30 +0000 2017
2290859,"@AmazonHelp #JeffBezos , #flipcart . Order cancelled because of non delivery in stipulated time. Order on Amazon needs advance payment. Refund to take 2 weeks !! Amazing tactics Amazon !!","@665414 Sorry, you feel that way. Please reply to the email sent by our specialist team for further insight on your refund. ^VM",Tue Nov 14 09:00:34 +0000 2017
324446,@AmazonHelp Please look at complaints registered for Order #407-4330002-1760315 @115850,@193286 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,Sat Oct 07 15:35:58 +0000 2017
2964089,"@AmazonHelp Già fatto ma ho ottenuto un risultato: assolutamente no. Mi hanno risposto che per venerdì saranno consegnati, una settimana per avere dei prodotti già pagati e non due giorni lavorativi essendo cliente Prime. Pazzesco, assurdo e poco professionale.","@236677 Comprendo il tuo disappunto e mi dispiace. Da qui non posso verificare il tuo ordine, ma il nostro Servizio Clienti rimane a tua completa disposizione per qualsiasi ulteriore chiarimento: non esitare a ricontattarlo. ^EA",Wed Nov 29 21:49:12 +0000 2017
2052160,LOVE it when you pay for Prime and shit doesn't arrive when it says it will 🙃🙃🙃 @115821,@606902 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/7R8P8hZQtW? ^KP,Wed Oct 18 23:37:26 +0000 2017
2917189,"@AmazonHelp I just want to know what time it would leave the warehouse. No one is assuring me it's going to actually leave the warehouse today. That's my concern. The last time this happened, you guys were actually out of stock.","@807445 I'm sorry, we can't speculate on our warehouse shipping time-frames. It's not uncommon for an item to ship and be delivered the same day it's due, though. ^AM",Tue Nov 28 23:53:36 +0000 2017
2913146,@116875 que puedo hacer con las compras que hice si mi cuenta está suspendida?,"@806436 ¡Hola, Alfonso! Sin compartir información personal, ¿podrías informarnos si recibiste un correo con instrucciones sobre como accesar a tu cuenta de nuevo?. ^NB",Tue Nov 28 22:31:47 +0000 2017
236164,@AmazonHelp There is no option not to auto renew because th payment got declined. I don't want to add a working card because I will be charged.,@172247 Hi Annabel- Might be best to speak with us directly and we can see what we can do for you: https://t.co/JzP7hlA23B ^NV,Sat Oct 07 12:45:03 +0000 2017
