customer_tweet_id,customer_text,intent,escalate,escalation_reason
1556266,"@AmazonHelp Shouldn't the courier and shipping dept be held responsible and made to bear the loss ?
#BeyondDisgusted",delivery_delay,no,none
1547229,@115830 Not sure how 3 days to deliver an item is considered Prime service. #badservice #nextdaydelivery,delivery_delay,no,none
2962796,When @115821’s 2 day delivery turns into 3 days.............. 🙄,delivery_delay,no,none
422046,@AmazonHelp Pls do..,other_general,no,none
274053,Amazonのコンビニ支払いの仕方がわからない,payment_billing,no,none
2475976,@121284 still no any confirmation about refund or exchange my watch,refund_issue,no,none
2511615,"Que raro que @116875 no se haya cobrado el juego, creo que ya les jalaron los pelos por entregarlos un día antes u.u",other_general,no,none
1700072,@AmazonHelp keep getting error redeeming code message when im trying to redeem my sonic forces preorder code. Help?,technical_product_issue,no,none
1071144,@115830 can you DM about an aftersales issue. Thanks,other_general,yes,needs_human_support
1489178,@AmazonHelp les trois ont été expédié  et deux ont été automatiquement retourné,return_replacement,no,none
824078,@AmazonHelp AZNL is the delivery service.,other_general,no,none
1545213,@AmazonHelp わざわざリプライ頂き、ありがとうございます。既にサポートセンターに連絡済みで、ご対応頂いております。,other_general,no,none
2628834,@715660 $108 was taken out my account for amazon prime and i didn't sign up for none of that shit,payment_billing,yes,unauthorized_charge
1249443,@AmazonHelp Friday 10/27,other_general,no,none
2799365,"Amazon知らん間にプライム会員なってて3,900円〜💸〜さよなら〜",payment_billing,yes,unauthorized_charge
2935771,@AmazonHelp @116928 cual de todas las versiones que me han dado?,other_general,no,none
816997,@AmazonHelp Only winners ? and what is the date for next announcement,other_general,no,none
874570,@AmazonHelp @115850  @115821 @115830 finally i blocked by amzn and i hv no way to contact amzn...i want my mony ....#chor_amazon https://t.co/elf3cVJ79v,refund_issue,yes,needs_human_support
392197,@115830 excellent use of packaging again... not bad for the environment at all... MASSIVE box https://t.co/dl6ETLbJry,other_general,no,none
353266,"@115817 @115821 how do I complain about these wank shites? Didn't even attempt delivery or bother telling me, had to chase them myself.",delivery_delay,yes,delivery_issue
2468559,I am addicted to @115821 #Prime bad! Things are showing up left and right and I have no idea what I bought! LOVE it 🎄🎄🎄🎄🎄🎄🎄🎄🎄,other_general,no,none
1438578,El 100% de envíos que me ha hecho @116928 con @130687 han sido con problemas. ¿Hasta cuándo? Me buscaré otros sitios de compra.,delivery_delay,yes,delivery_issue
132565,"@115850 I have had an unpleasant experience dealing with Amazon with reference to order no # 408-5217257-7653153, from delivery, to return pickup and now refund has been delayed a lot",refund_issue,yes,delayed_refund
1234092,@AmazonHelp my parcel said it was delivered and signed for by me yesterday but i wasn't in. I can't find the parcel - can you help please?,missing_package,yes,missing_package
2115621,@AmazonHelp  living in belgium I can pick amazon.de or .fr for a prime membership.  Is the movie / series selection and choice of languages based on my location or the country prime membership (.de or .fr) that I would pick? thanks,other_general,no,none
969824,"@AmazonHelp i have done that twice already..if you still need me to provide my details, you are not really good at your job",other_general,no,none
2700856,Ordered something on @115821 prime for next day delivery yet it’s now coming in 1-2 days. What am I paying for exactly? 😐😐😐,delivery_delay,yes,delivery_issue
2773107,"bonjour @120533, est-il possible de faire un achat sur la xbox one x en payant 4x sans frais pour une livraison en belgique ? merci",payment_billing,no,none
986352,"@115850 @115821 @AmazonHelp : outrageous!my uncle ordrd mobile # 405-5688067-2004349.D mobile was returned,but the amount was not refunded",payment_billing,no,none
155113,@AmazonHelp Update: the parcel's still not here but I have https://t.co/3sdf9I4dPD,missing_package,yes,missing_package
1159244,"Hi @AmazonHelp came home this evening to a card saying ""parcel safe behind bin photo taken for proof"" but guess what? No parcel. Imagine leaving a delivery in the street in inner city Liverpool all day!!!",delivery_delay,yes,delivery_issue
312990,@AmazonHelp  https://t.co/Zu0qMvIX5G,other_general,no,none
439244,"@115850 never expected such pathetic delivery experience.Tracking #: 216237019191, please help if you can.
@118702 @122599 @4030",order_status_tracking,yes,delivery_issue
1355416,"@AmazonHelp Nope... 😔
It was a gift....",other_general,no,none
